ticker,name,sector,index
PGR,Progressive Corporation,Financials,S&P500
PLD,Prologis,Real Estate,S&P500
PRU,Prudential Financial,Financials,S&P500
PEG,Public Service Enterprise Group,Utilities,S&P500
PTC,PTC Inc.,Information Technology,S&P500
PSA,Public Storage,Real Estate,S&P500
PHM,PulteGroup,Consumer Discretionary,S&P500
PWR,Quanta Services,Industrials,S&P500
QCOM,Qualcomm,Information Technology,S&P500
DGX,Quest Diagnostics,Health Care,S&P500
Q,Qnity Electronics,Information Technology,S&P500
RL,Ralph Lauren Corporation,Consumer Discretionary,S&P500
RJF,Raymond James Financial,Financials,S&P500
RTX,RTX Corporation,Industrials,S&P500
O,Realty Income,Real Estate,S&P500
REG,Regency Centers,Real Estate,S&P500
REGN,Regeneron Pharmaceuticals,Health Care,S&P500
RF,Regions Financial Corporation,Financials,S&P500
RSG,Republic Services,Industrials,S&P500
RMD,ResMed,Health Care,S&P500
RVTY,Revvity,Health Care,S&P500
HOOD,Robinhood Markets,Financials,S&P500
ROK,Rockwell Automation,Industrials,S&P500
ROL,"Rollins, Inc.",Industrials,S&P500
ROP,Roper Technologies,Information Technology,S&P500
ROST,Ross Stores,Consumer Discretionary,S&P500
RCL,Royal Caribbean Group,Consumer Discretionary,S&P500
SPGI,S&P Global,Financials,S&P500
CRM,Salesforce,Information Technology,S&P500
SNDK,Sandisk,Information Technology,S&P500
SBAC,SBA Communications,Real Estate,S&P500
SLB,Schlumberger,Energy,S&P500
STX,Seagate Technology,Information Technology,S&P500
SRE,Sempra,Utilities,S&P500
NOW,ServiceNow,Information Technology,S&P500
SHW,Sherwin-Williams,Materials,S&P500
SPG,Simon Property Group,Real Estate,S&P500
SWKS,Skyworks Solutions,Information Technology,S&P500
SJM,J.M. Smucker Company (The),Consumer Staples,S&P500
SW,Smurfit Westrock,Materials,S&P500
SNA,Snap-on,Industrials,S&P500
SOLV,Solventum,Health Care,S&P500
SO,Southern Company,Utilities,S&P500
LUV,Southwest Airlines,Industrials,S&P500
SWK,Stanley Black & Decker,Industrials,S&P500
SBUX,Starbucks,Consumer Discretionary,S&P500
STT,State Street Corporation,Financials,S&P500
STLD,Steel Dynamics,Materials,S&P500
STE,Steris,Health Care,S&P500
SYK,Stryker Corporation,Health Care,S&P500
SMCI,Supermicro,Information Technology,S&P500
SYF,Synchrony Financial,Financials,S&P500
SNPS,Synopsys,Information Technology,S&P500
SYY,Sysco,Consumer Staples,S&P500
TMUS,T-Mobile US,Communication Services,S&P500
TROW,T. Rowe Price,Financials,S&P500
TTWO,Take-Two Interactive,Communication Services,S&P500
TPR,"Tapestry, Inc.",Consumer Discretionary,S&P500
TRGP,Targa Resources,Energy,S&P500
TGT,Target Corporation,Consumer Staples,S&P500
TEL,TE Connectivity,Information Technology,S&P500
TDY,Teledyne Technologies,Information Technology,S&P500
TER,Teradyne,Information Technology,S&P500
TSLA,"Tesla, Inc.",Consumer Discretionary,S&P500
TXN,Texas Instruments,Information Technology,S&P500
TPL,Texas Pacific Land Corporation,Energy,S&P500
TXT,Textron,Industrials,S&P500
TMO,Thermo Fisher Scientific,Health Care,S&P500
TJX,TJX Companies,Consumer Discretionary,S&P500
TKO,TKO Group Holdings,Communication Services,S&P500
TTD,Trade Desk (The),Communication Services,S&P500
TSCO,Tractor Supply,Consumer Discretionary,S&P500
TT,Trane Technologies,Industrials,S&P500
TDG,TransDigm Group,Industrials,S&P500
TRV,Travelers Companies (The),Financials,S&P500
TRMB,Trimble Inc.,Information Technology,S&P500
TFC,Truist Financial,Financials,S&P500
TYL,Tyler Technologies,Information Technology,S&P500
TSN,Tyson Foods,Consumer Staples,S&P500
USB,U.S. Bancorp,Financials,S&P500
UBER,Uber,Industrials,S&P500
UDR,"UDR, Inc.",Real Estate,S&P500
ULTA,Ulta Beauty,Consumer Discretionary,S&P500
UNP,Union Pacific Corporation,Industrials,S&P500
UAL,United Airlines Holdings,Industrials,S&P500
UPS,United Parcel Service,Industrials,S&P500
URI,United Rentals,Industrials,S&P500
UNH,UnitedHealth Group,Health Care,S&P500
UHS,Universal Health Services,Health Care,S&P500
VLO,Valero Energy,Energy,S&P500
VEEV,Veeva Systems,Health Care,S&P500
VTR,Ventas,Real Estate,S&P500
VLTO,Veralto,Industrials,S&P500
VRSN,Verisign,Information Technology,S&P500
VRSK,Verisk Analytics,Industrials,S&P500
VZ,Verizon,Communication Services,S&P500
VRTX,Vertex Pharmaceuticals,Health Care,S&P500
VRT,Vertiv,Industrials,S&P500
VTRS,Viatris,Health Care,S&P500
VICI,Vici Properties,Real Estate,S&P500
V,Visa Inc.,Financials,S&P500
VST,Vistra Corp.,Utilities,S&P500
VMC,Vulcan Materials Company,Materials,S&P500
WRB,W. R. Berkley Corporation,Financials,S&P500
GWW,W. W. Grainger,Industrials,S&P500
WAB,Wabtec,Industrials,S&P500
WMT,Walmart,Consumer Staples,S&P500
DIS,Walt Disney Company (The),Communication Services,S&P500
WBD,Warner Bros. Discovery,Communication Services,S&P500
WM,Waste Management,Industrials,S&P500
WAT,Waters Corporation,Health Care,S&P500
WEC,WEC Energy Group,Utilities,S&P500
WFC,Wells Fargo,Financials,S&P500
WELL,Welltower,Real Estate,S&P500
WST,West Pharmaceutical Services,Health Care,S&P500
WDC,Western Digital,Information Technology,S&P500
WY,Weyerhaeuser,Real Estate,S&P500
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,S&P500
WMB,Williams Companies,Energy,S&P500
WTW,Willis Towers Watson,Financials,S&P500
WDAY,"Workday, Inc.",Information Technology,S&P500
WYNN,Wynn Resorts,Consumer Discretionary,S&P500
XEL,Xcel Energy,Utilities,S&P500
XYL,Xylem Inc.,Industrials,S&P500
YUM,Yum! Brands,Consumer Discretionary,S&P500
ZBRA,Zebra Technologies,Information Technology,S&P500
ZBH,Zimmer Biomet,Health Care,S&P500
ZTS,Zoetis,Health Care,S&P500
AA,Alcoa,Materials,S&P400
AAL,American Airlines Group,Industrials,S&P400
AAON,AAON,Industrials,S&P400
ACI,Albertsons,Consumer Staples,S&P400
ACM,AECOM,Industrials,S&P400
ADC,Agree Realty,Real Estate,S&P400
AEIS,Advanced Energy,Information Technology,S&P400
AFG,American Financial Group,Financials,S&P400
AGCO,AGCO,Industrials,S&P400
AHR,American Healthcare REIT,Real Estate,S&P400
AIT,Applied Industrial Technologies,Industrials,S&P400
ALGM,Allegro MicroSystems,Information Technology,S&P400
ALK,Alaska Air Group,Industrials,S&P400
ALLY,Ally Financial,Financials,S&P400
ALV,Autoliv,Consumer Discretionary,S&P400
AM,Antero Midstream,Energy,S&P400
AMG,Affiliated Managers Group,Financials,S&P400
AMH,American Homes 4 Rent,Real Estate,S&P400
AMKR,Amkor Technology,Information Technology,S&P400
AN,AutoNation,Consumer Discretionary,S&P400
ANF,Abercrombie & Fitch,Consumer Discretionary,S&P400
APG,APi Group,Industrials,S&P400
APPF,AppFolio,Information Technology,S&P400
AR,Antero Resources,Energy,S&P400
ARMK,Aramark,Consumer Discretionary,S&P400
ARW,Arrow Electronics,Information Technology,S&P400
ARWR,Arrowhead Pharmaceuticals,Health Care,S&P400
ASB,Associated Bank,Financials,S&P400
ASH,Ashland Global,Materials,S&P400
ATI,ATI Inc.,Industrials,S&P400
ATR,AptarGroup,Materials,S&P400
AVAV,AeroVironment,Industrials,S&P400
AVNT,Avient,Materials,S&P400
AVT,Avnet,Information Technology,S&P400
AVTR,Avantor,Health Care,S&P400
AXTA,Axalta,Materials,S&P400
AYI,Acuity Brands,Industrials,S&P400
BAH,Booz Allen Hamilton,Industrials,S&P400
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,S&P400
BC,Brunswick,Consumer Discretionary,S&P400
BCO,Brink's,Industrials,S&P400
BDC,Belden Inc.,Information Technology,S&P400
BHF,Brighthouse Financial,Financials,S&P400
BILL,Bill Holdings,Information Technology,S&P400
BIO,Bio-Rad Laboratories,Health Care,S&P400
BJ,BJ's Wholesale Club,Consumer Staples,S&P400
BKH,Black Hills Corporation,Utilities,S&P400
BLD,TopBuild Corp.,Consumer Discretionary,S&P400
BMRN,BioMarin Pharmaceutical,Health Care,S&P400
BRKR,Bruker,Health Care,S&P400
BROS,Dutch Bros Inc.,Consumer Discretionary,S&P400
BRX,Brixmor Property Group,Real Estate,S&P400
BSY,Bentley Systems,Information Technology,S&P400
BURL,Burlington Stores,Consumer Discretionary,S&P400
BWA,BorgWarner,Consumer Discretionary,S&P400
BWXT,BWX Technologies,Industrials,S&P400
BYD,Boyd Gaming,Consumer Discretionary,S&P400
CACI,CACI International,Industrials,S&P400
CAR,Avis Budget Group,Industrials,S&P400
CART,Maplebear Inc.,Consumer Staples,S&P400
CAVA,Cava Group,Consumer Discretionary,S&P400
CBSH,Commerce Bancshares,Financials,S&P400
CBT,Cabot Corp,Materials,S&P400
CCK,Crown Holdings,Materials,S&P400
CDE,Coeur Mining,Materials,S&P400
CDP,COPT Defense Properties,Real Estate,S&P400
CELH,Celsius Holdings,Consumer Staples,S&P400
CFR,Frost Bank,Financials,S&P400
CG,Carlyle Group (The),Financials,S&P400
CGNX,Cognex,Information Technology,S&P400
CHDN,Churchill Downs Inc.,Consumer Discretionary,S&P400
CHE,Chemed Corp.,Health Care,S&P400
CHH,Choice Hotels,Consumer Discretionary,S&P400
CHRD,Chord Energy,Energy,S&P400
CHWY,Chewy,Consumer Discretionary,S&P400
CLF,Cleveland-Cliffs,Materials,S&P400
CLH,Clean Harbors,Industrials,S&P400
CMC,Commercial Metals,Materials,S&P400
CNH,CNH Industrial,Industrials,S&P400
CNM,Core & Main,Industrials,S&P400
CNO,CNO Financial Group,Financials,S&P400
CNX,CNX Resources,Energy,S&P400
COKE,Coca-Cola Consolidated,Consumer Staples,S&P400
COLB,Columbia Banking System,Financials,S&P400
COLM,Columbia Sportswear,Consumer Discretionary,S&P400
CPRI,Capri Holdings,Consumer Discretionary,S&P400
CR,Crane,Industrials,S&P400
CRBG,Corebridge Financial,Financials,S&P400
CROX,Crocs,Consumer Discretionary,S&P400
CRS,Carpenter Technology,Industrials,S&P400
CRUS,Cirrus Logic,Information Technology,S&P400
CSL,Carlisle Companies,Industrials,S&P400
CTRE,CareTrust REIT,Real Estate,S&P400
CUBE,CubeSmart,Real Estate,S&P400
CUZ,Cousins Properties,Real Estate,S&P400
CVLT,CommVault Systems,Information Technology,S&P400
CW,Curtiss-Wright,Industrials,S&P400
CXT,Crane NXT,Information Technology,S&P400
CYTK,Cytokinetics,Health Care,S&P400
DAR,Darling Ingredients,Consumer Staples,S&P400
DBX,Dropbox,Information Technology,S&P400
DCI,Donaldson Company,Industrials,S&P400
DINO,HF Sinclair,Energy,S&P400
DKS,Dick's Sporting Goods,Consumer Discretionary,S&P400
DLB,Dolby,Information Technology,S&P400
DOCN,DigitalOcean,Information Technology,S&P400
DOCS,Doximity,Health Care,S&P400
DOCU,Docusign,Information Technology,S&P400
DT,Dynatrace,Information Technology,S&P400
