ticker,name,score,roe,revenue_growth,earnings_growth,per,pbr,debt_to_equity,sector,index
CDW,CDW Corporation,49.1,0.44157,0.092,0.077,16.22506,6.6805243,240.522,Information Technology,S&P500
AOS,A. O. Smith,49.0,0.28267,-0.019,-0.105,16.725334,4.603303,34.981,Industrials,S&P500
MET,MetLife,49.0,0.13014,0.027,0.359,17.41973,2.1292791,178.019,Financials,S&P500
LEN,Lennar,49.0,0.07368,-0.052,-0.315,13.826018,0.9828303,28.692,Consumer Discretionary,S&P500
DUK,Duke Energy,48.9,0.09661,0.113,0.12,19.907835,1.8852006,161.495,Utilities,S&P500
NTAP,NetApp,48.9,1.06734,0.125,0.234,24.27874,22.366167,202.295,Information Technology,S&P500
DOCS,Doximity,48.9,0.19282,0.051,-0.69,22.306122,4.2087026,1.071,Health Care,S&P400
CACI,CACI International,48.9,0.13449,0.085,0.176,20.74381,2.5952652,131.219,Industrials,S&P400
MOS,Mosaic Company (The),48.8,0.0059399996,0.144,,150.92856,0.5689743,48.19,Materials,S&P500
CAH,Cardinal Health,48.8,,0.11,-0.195,36.47939,-19.8274,,Health Care,S&P500
GGG,Graco Inc.,48.7,0.19779,0.022,-0.028,24.588236,4.551724,1.929,Industrials,S&P400
ALLE,Allegion,48.7,0.34179002,0.097,-0.07,19.204918,5.7494583,105.863,Industrials,S&P500
REG,Regency Centers,48.5,0.08003,0.1,0.172,27.821304,2.216928,73.218,Real Estate,S&P500
CCK,Crown Holdings,48.5,0.26185,0.129,-0.055,18.01113,4.2914505,189.508,Materials,S&P400
ED,Consolidated Edison,48.4,0.08732,0.062,0.129,19.222597,1.6388705,106.177,Utilities,S&P500
BRX,Brixmor Property Group,48.4,0.14832,0.051,0.808,21.818184,3.1524704,182.638,Real Estate,S&P400
LH,Labcorp,48.4,0.11047,0.058,0.329,25.44149,2.705878,83.407,Health Care,S&P500
AIT,Applied Industrial Technologies,48.4,0.21899,0.073,0.031,31.241737,6.5910316,19.639,Industrials,S&P400
EW,Edwards Lifesciences,48.3,0.1046,0.167,0.082,51.01081,5.2723618,6.806,Health Care,S&P500
PNW,Pinnacle West Capital,48.3,0.09559,0.114,,20.40485,1.8751822,212.957,Utilities,S&P500
GLW,Corning Inc.,48.3,0.1674,0.2,1.389,94.1579,15.110957,80.363,Information Technology,S&P500
CTVA,Corteva,48.3,0.051370002,0.11,0.121,46.37838,2.3598008,13.64,Materials,S&P500
GEHC,GE HealthCare,48.2,0.19462,0.074,-0.309,15.7230215,2.7957106,97.055,Health Care,S&P500
CDNS,Cadence Design Systems,48.1,0.20656,0.187,0.23,86.97903,15.685402,46.992,Information Technology,S&P500
TAP,Molson Coors Beverage Company,48.0,-0.18080999,0.02,0.356,,0.74292654,62.567,Consumer Staples,S&P500
D,Dominion Energy,47.7,0.09787,0.231,-0.102,20.57522,2.1775098,154.901,Utilities,S&P500
CNO,CNO Financial Group,47.7,0.09764,0.025,0.857,21.141129,1.9683148,172.194,Financials,S&P400
DTM,DT Midstream,47.7,0.098579995,0.109,0.198,32.059864,3.1033225,68.866,Energy,S&P400
VLTO,Veralto,47.7,0.36463,0.068,0.133,23.853092,7.564365,95.542,Industrials,S&P500
MDLZ,Mondelez International,47.6,0.101610005,0.082,0.413,30.153465,3.036391,83.793,Consumer Staples,S&P500
AVB,AvalonBay Communities,47.6,0.09719,0.025,0.403,24.034698,2.3448908,81.307,Real Estate,S&P500
PEP,PepsiCo,47.6,0.43879002,0.085,0.278,22.640503,9.226538,244.837,Consumer Staples,S&P500
NVR,"NVR, Inc.",47.6,0.33257,-0.214,-0.285,16.474585,5.278137,31.22,Consumer Discretionary,S&P500
COR,Cencora,47.5,1.0713401,0.038,1.283,22.721073,16.979328,420.985,Health Care,S&P500
EBAY,eBay Inc.,47.5,0.42875,0.195,0.071,26.52194,11.609381,163.327,Consumer Discretionary,S&P500
BG,Bunge Global,47.4,0.04933,0.878,-0.764,28.015789,1.2873036,93.214,Consumer Staples,S&P500
XYL,Xylem Inc.,47.4,0.08724,0.027,0.145,29.383085,2.5062592,18.354,Industrials,S&P500
RTX,RTX Corporation,47.3,0.11571,0.087,0.325,37.312733,4.048398,57.229,Industrials,S&P500
CCL,Carnival Corporation,47.3,0.26689,0.053,-0.065,12.572072,2.9528143,201.556,Consumer Discretionary,S&P500
AEP,American Electric Power,47.0,0.12585,0.102,0.067,20.489643,2.3687856,157.099,Utilities,S&P500
SLB,Schlumberger,47.0,0.14066,0.027,-0.138,19.881058,2.5775316,42.515,Energy,S&P500
ALGM,Allegro MicroSystems,47.0,-0.0155299995,0.261,,,10.771695,31.984,Information Technology,S&P400
TJX,TJX Companies,47.0,0.6125,0.092,0.293,30.011673,16.386234,136.307,Consumer Discretionary,S&P500
PWR,Quanta Services,47.0,0.13534,0.263,0.51,91.80082,11.087866,69.121,Industrials,S&P500
BILL,Bill Holdings,46.9,4.0000003e-05,0.135,,inf,1.0600466,49.592,Information Technology,S&P400
ARES,Ares Management,46.8,0.14182,0.283,7.705,53.870968,10.273311,168.762,Financials,S&P500
TPR,"Tapestry, Inc.",46.8,0.60914004,0.212,0.737,44.10092,42.754227,574.912,Consumer Discretionary,S&P500
NOW,ServiceNow,46.7,0.1607,0.221,0.023,63.285717,9.349279,20.728,Information Technology,S&P500
ATO,Atmos Energy,46.7,0.096,0.006,0.145,21.782019,1.98025,64.588,Utilities,S&P500
EXPE,Expedia Group,46.7,0.71494,0.147,,23.756851,55.97708,256.536,Consumer Discretionary,S&P500
BJ,BJ's Wholesale Club,46.6,0.27885,0.099,-0.027,20.50115,5.355835,134.579,Consumer Staples,S&P400
PFE,Pfizer,46.6,0.083100006,0.054,-0.101,18.564886,1.5382669,71.602,Health Care,S&P500
FLR,Fluor,46.5,0.1015,-0.08,,22.579908,2.4374015,36.293,Industrials,S&P400
DG,Dollar General,46.5,0.1891,0.034,0.124,16.714285,2.9476178,178.649,Consumer Staples,S&P500
PPL,PPL Corporation,46.3,0.08316,0.108,0.073,22.6319,1.8475485,135.116,Utilities,S&P500
SOLV,Solventum,46.3,0.34794998,-0.03,-0.91,9.580171,2.7333682,106.46,Health Care,S&P500
CHWY,Chewy,46.3,0.63816,0.077,0.527,34.75,20.144928,123.385,Consumer Discretionary,S&P400
AVNT,Avient,46.2,0.06732,0.025,,21.69186,1.4222544,79.591,Materials,S&P400
MA,Mastercard,46.1,2.32076,0.158,0.212,31.25087,71.197205,282.059,Financials,S&P500
AXON,Axon Enterprise,46.1,0.06765,0.337,0.898,237.86453,13.611472,52.074,Industrials,S&P500
COLM,Columbia Sportswear,46.0,0.10285,0.001,-0.133,20.230032,2.0470047,29.872,Consumer Discretionary,S&P400
ISRG,Intuitive Surgical,46.0,0.17232999,0.23,0.188,51.826035,8.63995,,Health Care,S&P500
WAB,Wabtec,46.0,0.11305001,0.13,0.128,37.032486,4.012089,62.03,Industrials,S&P500
VMC,Vulcan Materials Company,45.9,0.13458,0.074,0.297,35.9656,4.644739,61.249,Materials,S&P500
KIM,Kimco Realty,45.8,0.058579996,0.04,0.294,29.103447,1.6436222,78.788,Real Estate,S&P500
IBKR,Interactive Brokers,45.7,0.2356,0.168,0.229,39.197426,7.2848372,152.192,Financials,S&P500
O,Realty Income,45.7,0.02831,0.12,0.179,52.32787,1.5206518,73.467,Real Estate,S&P500
COF,Capital One,45.7,0.03259,0.463,-0.032,62.920242,1.1822137,,Financials,S&P500
DDOG,Datadog,45.7,0.039300002,0.322,1.04,667.5897,23.229834,32.221,Information Technology,S&P500
OXY,Occidental Petroleum,45.7,0.04053,-0.083,3.156,66.0946,1.5819776,41.989,Energy,S&P500
COP,ConocoPhillips,45.7,0.112840004,-0.053,-0.202,17.750847,1.9768957,36.143,Energy,S&P500
FOX,Fox Corporation (Class B),45.6,0.152,-0.086,-0.493,13.3052635,1.9395428,67.867,Communication Services,S&P500
NWSA,News Corp (Class A),45.5,0.06524,0.088,-0.104,33.721516,1.7075828,31.559,Communication Services,S&P500
CTAS,Cintas,45.5,0.41303003,0.089,0.097,38.34461,15.150781,60.943,Industrials,S&P500
GNRC,Generac,45.4,0.07388,0.124,0.699,78.71028,5.550162,52.086,Industrials,S&P500
EXC,Exelon,45.4,0.09764,0.079,-0.003,17.538462,1.6712042,174.794,Utilities,S&P500
CAT,Caterpillar Inc.,45.4,0.51331,0.222,0.302,48.080338,23.784405,230.793,Industrials,S&P500
AVY,Avery Dennison,45.2,0.30857,0.07,0.043,18.802927,5.564183,164.751,Materials,S&P500
TGT,Target Corporation,45.2,0.22015,0.067,-0.247,17.200792,3.6071253,117.548,Consumer Staples,S&P500
CCI,Crown Castle,45.1,,-0.048,,32.320675,-17.39328,,Real Estate,S&P500
XOM,ExxonMobil,45.1,0.09873,0.026,-0.434,23.079124,2.2086709,18.261,Energy,S&P500
AMH,American Homes 4 Rent,45.1,0.0691,0.028,0.179,27.707317,1.7896341,67.703,Real Estate,S&P400
IFF,International Flavors & Fragrances,45.0,0.060510002,-0.036,,25.95356,1.5151187,45.701,Materials,S&P500
ROK,Rockwell Automation,45.0,0.27183,0.119,0.396,49.033264,14.902692,113.367,Industrials,S&P500
CMS,CMS Energy,45.0,0.103719994,0.116,0.089,21.531858,2.5980146,189.842,Utilities,S&P500
F,Ford Motor Company,45.0,-0.14813,0.064,4.308,,1.4214277,425.544,Consumer Discretionary,S&P500
BAH,Booz Allen Hamilton,44.9,0.8074,-0.065,0.103,9.050725,6.8013506,373.032,Industrials,S&P400
NDSN,Nordson Corporation,44.9,0.1714,0.085,0.061,31.056684,5.0525475,61.637,Industrials,S&P500
ELV,Elevance Health,44.8,0.12086,0.026,-0.168,17.699703,2.0690696,72.299,Health Care,S&P500
AEE,Ameren,44.8,0.117469996,0.037,0.196,20.68705,2.3477302,155.674,Utilities,S&P500
BWXT,BWX Technologies,44.8,0.29032,0.261,0.207,51.08556,13.670578,157.623,Industrials,S&P400
PSX,Phillips 66,44.8,0.14547,0.069,-0.568,17.415596,2.479411,91.385,Energy,S&P500
OMC,Omnicom Group,44.8,0.02015,0.692,-0.069,,2.3743658,110.574,Communication Services,S&P500
KHC,Kraft Heinz,44.7,-0.12576,0.008,0.136,,0.717721,50.258,Consumer Staples,S&P500
DLTR,Dollar Tree,44.6,0.33976,0.072,0.095,19.911718,6.840741,216.518,Consumer Staples,S&P500
BF-B,Brown–Forman,44.6,0.17846,0.02,-0.627,17.09804,2.9849384,64.95,Consumer Staples,S&P500
BDX,Becton Dickinson,44.5,0.06672,0.052,,27.636366,1.8048959,71.599,Health Care,S&P500
IBM,IBM,44.5,0.35772,0.095,0.142,25.643932,8.25243,211.169,Information Technology,S&P500
UDR,"UDR, Inc.",44.4,0.123500004,0.042,1.516,27.952381,4.129648,142.368,Real Estate,S&P500
CHE,Chemed Corp.,44.4,0.25597,0.016,-0.004,26.742765,7.633285,27.941,Health Care,S&P400
AMCR,Amcor,44.4,0.08737001,0.774,-0.117,36.0,1.7849351,143.74,Materials,S&P500
ELAN,Elanco,44.4,-0.03766,0.149,-0.154,,1.920713,66.154,Health Care,S&P400
CHDN,Churchill Downs Inc.,44.3,0.35001,0.031,0.134,16.742174,5.78124,438.287,Consumer Discretionary,S&P400
WY,Weyerhaeuser,44.3,0.04161,-0.02,0.966,42.482143,1.8172792,57.729,Real Estate,S&P500
ZTS,Zoetis,44.3,0.67748,0.029,0.06,12.262296,9.542033,286.236,Health Care,S&P500
ZBRA,Zebra Technologies,44.2,0.11781,0.143,0.038,32.268116,3.7253726,82.104,Information Technology,S&P500
COO,Cooper Companies (The),44.2,0.02853,0.079,,62.881355,1.755299,33.093,Health Care,S&P500
AHR,American Healthcare REIT,44.2,0.0349,0.209,,93.28814,3.0027277,47.614,Real Estate,S&P400
CXT,Crane NXT,44.2,0.1101,0.174,-0.71,23.5426,2.4377787,120.992,Information Technology,S&P400
BSY,Bentley Systems,44.2,0.24256,0.145,0.075,37.080456,8.233792,95.079,Information Technology,S&P400
FOXA,Fox Corporation (Class A),44.1,0.152,-0.086,-0.493,14.863158,2.166641,67.867,Communication Services,S&P500
BMY,Bristol Myers Squibb,44.1,0.38731998,0.026,0.092,16.282913,5.9147334,230.967,Health Care,S&P500
LIN,Linde plc,44.0,0.18229,0.082,0.134,36.225315,6.556953,65.642,Materials,S&P500
CBT,Cabot Corp,44.0,0.19957,-0.034,-0.249,16.292452,2.8404605,77.712,Materials,S&P400
CNM,Core & Main,44.0,0.23888001,-0.001,0.094,19.038137,4.137582,115.941,Industrials,S&P400
