ticker,name,score,roe,op_margin,net_margin,equity_ratio,per,pbr,price,sector33,market,scale
5333.T,ＮＧＫ,52.6,0.0733294835028237,0.1417601193807125,0.0894400298451781,0.65,36.22043427685149,2.658229198902987,7473.0,ガラス･土石製品,プライム,TOPIX Mid400
7951.T,ヤマハ,52.6,0.0494444791862089,0.0629101927664238,0.0509745771817849,0.775,22.07779886148008,1.069973607011155,1163.5,その他製品,プライム,TOPIX Mid400
7212.T,エフテック,52.5,0.0659254816075439,0.0287974618489306,0.016192362248429,0.318,2.6640471512770136,0.2166362587748868,678.0,輸送用機器,スタンダード,-
5039.T,,52.5,0.0115062761506276,0.0598290598290598,0.047008547008547,0.921,,,,,,
247A.T,Ａｉロボティクス,52.5,0.4387502066457265,0.1295003235805034,0.0903981743247385,0.328,19.59475017269169,9.129921682222935,851.0,化学,グロース,-
8912.T,エリアクエスト,52.5,0.0796632124352331,0.1127060074428495,0.0653907496012759,0.381,19.661458333333336,,151.0,不動産業,スタンダード,-
8952.T,,52.5,0.034227422411097,0.485215465447777,0.4383526140941969,0.484,45.58317399617591,1.5601073228191873,119200.0,,,
2415.T,ヒューマンホールディングス,52.5,0.1134548433340159,0.0352451262446483,0.0216112893630716,0.375,7.415730337078652,0.8416220351951034,1584.0,サービス業,スタンダード,-
9782.T,ディーエムエス,52.5,0.0691067153836462,0.0494588887422462,0.0361950640095024,0.783,17.19840478564307,1.1793379982703045,3450.0,サービス業,スタンダード,-
5237.T,ノザワ,52.4,0.0275877792977656,0.0893241305127285,0.0271154535675869,0.72,23.15748642358417,0.6479868448901841,1194.0,ガラス･土石製品,スタンダード,-
4488.T,ＡＩ　ｉｎｓｉｄｅ,52.4,0.0710095083957111,0.0653044027807036,0.0739414366968611,0.726,23.555205756689904,1.6757184792954782,2095.0,情報･通信業,グロース,-
9365.T,トレーディア,52.4,0.061200338123415,0.0142883200583693,0.0220100930260837,0.444,6.376776387708004,0.3903403768085771,1575.0,倉庫･運輸関連業,スタンダード,-
1433.T,ベステラ,52.4,0.0483299122970703,0.1078521234341582,0.0791322945310113,0.618,39.07262188885101,,1146.0,建設業,プライム,-
6552.T,ＧａｍｅＷｉｔｈ,52.4,0.0509013785790031,0.0600063836578359,0.0459623364187679,0.786,21.939393939393938,,181.0,サービス業,スタンダード,-
9533.T,東邦瓦斯,52.4,0.0658591595308249,0.0488169747421611,0.0483024489889952,0.59,14.774355300859598,0.943230841933566,1237.5,電気･ガス業,プライム,TOPIX Mid400
6794.T,フォスター電機,52.4,0.0643605542989366,0.0568527166258987,0.0366985397672522,0.603,13.36409699601882,0.9802652755793156,2954.0,電気機器,プライム,TOPIX Small 2
2003.T,日東富士製粉,52.4,0.0662369282350123,0.0524341481512016,0.0456050675350728,0.785,19.023587493143168,1.2621648966757169,1734.0,食料品,スタンダード,TOPIX Small 2
4412.T,サイエンスアーツ,52.4,0.0579227696404793,0.1012658227848101,0.0847127555988315,0.659,119.06976744186046,,1280.0,情報･通信業,グロース,-
5858.T,ＳＴＧ,52.4,0.0787401574803149,0.0494497432134996,0.041085840058694,0.368,10.46530349380132,0.7773492390946871,1300.0,非鉄金属,グロース,-
5990.T,スーパーツール,52.3,0.0191823290060065,0.0527864631230457,0.0364171418061431,0.773,23.52171326591315,0.4523116626400175,1977.0,金属製品,スタンダード,-
5845.T,全保連,52.3,0.2134387351778656,0.121162364441729,0.0659844203451962,0.325,15.440508628519527,3.3043928987948683,1020.0,その他金融業,スタンダード,-
7370.T,Ｅｎｊｉｎ,52.3,0.0234644582470669,0.0961538461538461,0.0653846153846153,0.853,48.83081155433288,,710.0,サービス業,グロース,-
2919.T,,52.3,0.040851719818865,0.0575795644891122,0.0443886097152428,0.754,,,,,,
1726.T,,52.3,0.1261320698134709,0.0431315694092062,0.0586332840772855,0.458,,,,,,
7456.T,松田産業,52.3,0.1407235676066157,0.0326193622672615,0.0243558486456938,0.52,9.033493414042836,1.2761529551121378,5850.0,卸売業,プライム,TOPIX Small 1
1992.T,神田通信機,52.3,0.0585550133795057,0.064630367419212,0.0548915449313855,0.649,18.387492335990192,1.080837568025372,2999.0,建設業,スタンダード,-
2445.T,タカミヤ,52.3,0.0731614699801696,0.0722374590816597,0.0383526497390073,0.309,10.59445178335535,0.7985343608738077,401.0,サービス業,スタンダード,TOPIX Small 2
4062.T,イビデン,52.3,0.1143014502737651,0.1490313574450806,0.1530822847614494,0.573,102.31854838709675,11.851156179404525,23345.0,電気機器,プライム,TOPIX Mid400
3269.T,,52.3,0.0374495777325517,0.4965864523313804,0.4463758291773592,0.493,46.78217821782178,1.7519060088522236,151200.0,,,
6856.T,堀場製作所,52.2,0.0251138770418081,0.1476416377811165,0.1024027256917744,0.672,134.25993305195752,,27675.0,電気機器,プライム,TOPIX Mid400
8093.T,極東貿易,52.2,0.0574759600276538,0.0400229322259753,0.0283398927763488,0.535,11.305952930318412,0.6485893654035247,1715.0,卸売業,プライム,TOPIX Small 2
4883.T,モダリス,52.2,-0.1153983565559128,,,0.938,,,33.0,医薬品,グロース,-
6305.T,日立建機,52.2,0.0765881528142559,0.0945938542561222,0.0520763888543023,0.485,15.55542637911992,1.2648385747405686,5352.0,機械,プライム,TOPIX Mid400
8975.T,,52.2,0.0351264688502039,0.5260374755719048,0.4168295206345557,0.42,40.26248941574936,1.4074293325440284,95100.0,,,
2341.T,アルバイトタイムス,52.2,0.0661996497373029,0.0339054884509429,0.0400508582326764,0.79,16.456921587608907,1.0888362262217384,170.0,サービス業,スタンダード,-
5900.T,ダイケン,52.2,0.0216263607803024,0.0222183798737788,0.0255900406328347,0.808,15.891831820707536,0.3437376056151821,858.0,金属製品,スタンダード,-
7679.T,薬王堂ホールディングス,52.1,0.1001317523056653,0.032263381519828,0.0245897636257081,0.39,8.101302600358336,0.8089355220849551,1673.0,小売業,プライム,TOPIX Small 2
7823.T,アートネイチャー,52.1,0.0669913878300155,0.0721748878923766,0.0425560538116591,0.534,14.736661519986276,1.0009671743360873,859.0,その他製品,スタンダード,TOPIX Small 2
6952.T,カシオ計算機,52.1,0.0774987138113278,0.0835097930625083,0.0659760304343262,0.669,23.30418488444722,1.7836313223061475,1865.5,電気機器,プライム,TOPIX Mid400
3353.T,メディカル一光グループ,52.1,0.0780389276533235,0.0325197337310392,0.0231894074424357,0.417,8.29864493844655,0.6749132048653296,2811.0,小売業,スタンダード,-
9890.T,マキヤ,52.1,0.0656220704432837,0.0227707023368526,0.0156928890929083,0.548,9.126147568854131,0.5993640131484922,1342.0,小売業,スタンダード,-
4256.T,サインド,52.1,0.0493119266055045,0.1302124311565696,0.067663257277734,0.715,32.91228070175438,1.631105778426974,938.0,情報･通信業,グロース,-
6158.T,和井田製作所,52.1,0.0258312981401465,0.038143865445262,0.0412974921159333,0.843,23.3112895606991,0.6091614925999531,987.0,機械,スタンダード,-
5659.T,日本精線,52.1,0.0493790248390064,0.0660286259951503,0.0460719727044484,0.754,21.30397483557335,1.0700179533213643,1490.0,鉄鋼,プライム,TOPIX Small 2
1945.T,東京エネシス,52.0,0.0591702092419808,0.0570152738827437,0.0515990034062323,0.607,16.45471464019851,0.970465292831728,2122.0,建設業,プライム,TOPIX Small 2
4827.T,,52.0,0.1271487427191362,0.0908552826279964,0.0529742527374963,0.205,,,,,,
8377.T,ほくほくフィナンシャルグループ,52.0,0.0804054469130746,,0.2122731269912206,0.043,14.995255971288314,1.2033176477208964,7270.0,銀行業,プライム,TOPIX Mid400
2918.T,わらべや日洋ホールディングス,52.0,0.0859313386232315,0.0318218557688606,0.022832534330056,0.451,8.671178499381792,0.7766758274584777,2665.0,食料品,プライム,TOPIX Small 1
3294.T,,52.0,0.1431139596685946,0.0749544785612731,0.0456710982514778,0.335,,,,,,
4680.T,ラウンドワン,52.0,0.2011375325225388,0.1517979614662249,0.0876875514381581,0.267,19.84992101105845,4.02118603385925,1256.5,サービス業,プライム,TOPIX Mid400
1720.T,東急建設,52.0,0.1188363094181547,0.0477928137850583,0.0392460306992476,0.359,9.423046441591376,1.1338063088835488,1189.0,建設業,プライム,TOPIX Small 1
7278.T,エクセディ,52.0,0.0656833371744641,0.0731411199178766,0.0450099199494625,0.602,16.109641740803077,1.1433317027110044,6030.0,輸送用機器,プライム,TOPIX Small 1
7254.T,ユニバンス,52.0,0.0315070831199863,0.0886597573485196,0.016324148420643,0.599,16.357885223678267,0.5165303996689639,724.0,輸送用機器,スタンダード,-
8253.T,クレディセゾン,51.9,0.0795934708803274,,,0.154,10.801401924117329,0.8670678491921276,4592.0,その他金融業,プライム,TOPIX Mid400
4645.T,市進ホールディングス,51.9,0.24910749702499,0.0481960006433281,0.0336675065673082,0.184,5.500194124498512,1.3864874563664242,425.0,サービス業,スタンダード,-
3951.T,朝日印刷,51.9,0.0433374166326391,0.0363558980332422,0.0356614847005062,0.515,11.523231256599788,0.5065891405393173,873.0,パルプ・紙,スタンダード,-
