ticker,name,score,gc_recent,trend_aligned,rsi,ret20,pct_from_52w_high,vol_ratio_on_gc,close,turnover20,sector,index
TWO,Two Harbors Investment Corp.,100,True,True,56.4,0.4,-9.2,0.86,12.07,24222190,Financials,S&P600
ELV,Elevance Health,100,True,True,60.5,7.2,-1.1,0.91,417.89,720729429,Health Care,S&P500
EQR,Equity Residential,100,True,True,66.7,6.7,0.0,0.99,69.83,210630957,Real Estate,S&P500
EBAY,eBay Inc.,100,True,True,62.6,5.5,-3.2,0.76,114.84,389361982,Consumer Discretionary,S&P500
HQY,HealthEquity,100,True,True,65.2,11.9,-9.6,1.17,95.31,90641114,Health Care,S&P400
DEA,"Easterly Government Properties, Inc.",100,True,True,68.8,8.6,0.0,1.2,25.54,11256472,Real Estate,S&P600
VIR,"Vir Biotechnology, Inc.",100,True,False,69.0,14.5,-9.5,0.89,10.04,22038436,Health Care,S&P600
MO,Altria,100,True,True,59.5,5.0,-1.8,0.78,72.71,610061621,Consumer Staples,S&P500
CPT,Camden Property Trust,100,True,True,60.6,8.7,0.0,0.7,117.25,143780427,Real Estate,S&P500
EXPD,Expeditors International,100,True,True,52.5,5.6,0.0,1.12,167.57,231868233,Industrials,S&P500
DDOG,Datadog,100,True,True,68.3,4.0,-6.2,0.94,260.36,1177027801,Information Technology,S&P500
MATW,Matthews International Corporation,90,True,False,56.4,4.9,-5.9,3.23,26.69,10436470,Consumer Discretionary,S&P600
CSX,CSX Corporation,90,True,True,61.2,5.3,0.0,1.48,48.89,587164021,Industrials,S&P500
TRNO,Terreno Realty Corporation,90,True,True,55.5,5.9,0.0,4.16,67.33,74231546,Real Estate,S&P600
TFX,Teleflex,90,True,True,57.2,4.2,-3.2,1.39,133.99,62421692,Health Care,S&P600
GEV,GE Vernova,90,True,True,67.3,16.1,-5.3,1.48,1113.11,3360363533,Industrials,S&P500
FCFS,FirstCash,90,True,False,53.8,0.8,-4.6,1.37,221.97,122014159,Financials,S&P400
INVH,Invitation Homes,90,True,True,64.8,6.4,-2.3,1.46,30.53,193197583,Real Estate,S&P500
CBU,"Community Bank System, Inc.",90,True,True,59.0,10.7,-1.2,1.75,67.61,27048235,Financials,S&P600
MTCH,Match Group,90,True,True,68.4,10.4,-2.1,2.22,37.9,136132960,Communication Services,S&P600
PBF,PBF Energy,90,True,False,67.7,12.4,-6.0,2.92,47.81,113522033,Energy,S&P400
BLFS,"BioLife Solutions, Inc.",90,True,True,58.5,3.2,-2.4,4.82,28.11,29812480,Health Care,S&P600
IRT,IRT Living,90,True,True,61.8,7.9,-0.2,2.48,17.33,57447394,Real Estate,S&P400
STC,Stewart Information Services Corporation,90,True,True,60.4,9.4,-9.8,2.52,67.96,18298827,Financials,S&P600
FFIV,"F5, Inc.",90,True,True,58.6,0.6,-3.8,1.66,408.14,247175900,Information Technology,S&P500
NTST,NETSTREIT Corp.,90,True,True,66.2,10.3,0.0,12.26,21.66,62179404,Real Estate,S&P600
VSAT,"Viasat, Inc.",90,True,True,59.6,19.3,-7.5,2.14,83.06,245322645,Information Technology,S&P600
ESS,Essex Property Trust,85,True,True,73.2,8.3,0.0,0.66,298.33,135668604,Real Estate,S&P500
CWK,Cushman & Wakefield plc,85,True,False,62.9,10.5,-18.7,1.11,13.99,32445144,Real Estate,S&P600
BOX,"Box, Inc.",85,True,True,69.0,4.5,-17.3,0.86,27.89,56329710,Information Technology,S&P600
ACHC,Acadia Healthcare,85,True,True,79.4,24.0,0.0,1.24,31.91,92599873,Health Care,S&P600
MDU,"MDU Resources Group, Inc.",85,True,False,46.4,0.4,-8.6,1.27,20.71,34744625,Utilities,S&P600
GPK,Graphic Packaging,85,True,True,55.1,1.4,-52.3,0.56,10.85,63643790,Materials,S&P400
GTLS,Chart Industries,85,True,True,72.9,0.8,-0.1,0.69,208.72,293032845,Industrials,S&P400
