ticker,name,score,gc_recent,trend_aligned,rsi,ret20,pct_from_52w_high,vol_ratio_on_gc,close,turnover20,sector33,market,scale
4385.T,メルカリ,85,True,True,70.5,13.4,0.0,1.17,4392.0,7285554115,情報･通信業,プライム,TOPIX Mid400
9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,85,True,True,72.0,6.2,0.0,0.9,5426.0,6756858039,陸運業,プライム,TOPIX Mid400
4307.T,野村総合研究所,85,True,True,60.6,0.6,-22.5,1.25,4910.0,11109127840,情報･通信業,プライム,TOPIX Large70
4544.T,Ｈ．Ｕ．グループホールディングス,85,True,True,64.7,1.0,-12.8,0.75,3391.0,930243905,サービス業,プライム,TOPIX Mid400
8550.T,栃木銀行,85,True,True,42.2,4.7,-7.7,0.61,974.0,716685560,銀行業,プライム,TOPIX Small 2
3632.T,グリーホールディングス,85,True,True,69.4,3.1,-20.1,1.24,396.0,305205055,情報･通信業,プライム,TOPIX Small 2
8600.T,トモニホールディングス,85,True,False,44.8,5.0,-7.6,1.06,895.0,433493830,銀行業,プライム,TOPIX Small 1
8892.T,エスコン,85,True,False,43.2,0.6,-8.8,0.76,1094.0,175787575,不動産業,プライム,TOPIX Small 1
8876.T,リログループ,85,True,False,89.4,14.1,-0.3,1.27,2058.0,1165355075,サービス業,プライム,TOPIX Mid400
4091.T,日本酸素ホールディングス,85,True,False,75.5,12.3,-2.0,1.02,6275.0,3272672905,化学,プライム,TOPIX Mid400
8697.T,日本取引所グループ,85,True,True,47.9,8.7,-3.5,0.98,2179.0,8431482690,その他金融業,プライム,TOPIX Large70
8841.T,テーオーシー,85,True,False,50.0,5.0,-16.4,0.42,968.0,109667940,不動産業,スタンダード,TOPIX Small 2
4071.T,プラスアルファ・コンサルティング,85,True,True,74.5,8.0,0.0,1.22,2906.0,586269550,情報･通信業,プライム,TOPIX Small 1
3968.T,セグエグループ,85,True,True,64.0,1.5,-25.1,0.53,584.0,123819470,情報･通信業,プライム,-
